Problems,Difficulty,Date,Week #
2,Medium,1/1/2021,0
4,Hard,1/1/2021,0
8,Medium,1/1/2021,0
9,Easy,1/1/2021,0
10,Hard,1/1/2021,0
13,Easy,1/1/2021,0
17,Medium,1/1/2021,0
22,Medium,1/1/2021,0
23,Hard,1/1/2021,0
24,Medium,1/1/2021,0
25,Hard,1/1/2021,0
28,Medium,1/1/2021,0
36,Medium,1/1/2021,0
41,Hard,1/1/2021,0
44,Hard,1/1/2021,0
48,Medium,1/1/2021,0
51,Hard,1/1/2021,0
54,Medium,1/1/2021,0
63,Medium,1/1/2021,0
64,Medium,1/1/2021,0
65,Hard,1/1/2021,0
67,Easy,1/1/2021,0
70,Easy,1/1/2021,0
73,Medium,1/1/2021,0
78,Medium,1/1/2021,0
80,Medium,1/1/2021,0
82,Medium,1/1/2021,0
84,Hard,1/1/2021,0
85,Hard,1/1/2021,0
86,Medium,1/1/2021,0
87,Hard,1/1/2021,0
92,Medium,1/1/2021,0
96,Medium,1/1/2021,0
100,Easy,1/1/2021,0
107,Medium,1/1/2021,0
108,Easy,1/1/2021,0
113,Medium,1/1/2021,0
116,Medium,1/1/2021,0
118,Easy,1/1/2021,0
120,Medium,1/1/2021,0
121,Easy,1/1/2021,0
122,Medium,1/1/2021,0
123,Hard,1/1/2021,0
127,Hard,1/1/2021,0
129,Medium,1/1/2021,0
131,Medium,1/1/2021,0
133,Medium,1/1/2021,0
135,Hard,1/1/2021,0
136,Easy,1/1/2021,0
137,Medium,1/1/2021,0
138,Medium,1/1/2021,0
141,Easy,1/1/2021,0
144,Easy,1/1/2021,0
149,Hard,1/1/2021,0
160,Easy,1/1/2021,0
162,Medium,1/1/2021,0
169,Easy,1/1/2021,0
171,Easy,1/1/2021,0
189,Medium,1/1/2021,0
199,Medium,1/1/2021,0
200,Medium,1/1/2021,0
201,Medium,1/1/2021,0
203,Easy,1/1/2021,0
207,Medium,1/1/2021,0
208,Medium,1/1/2021,0
211,Medium,1/1/2021,0
212,Hard,1/1/2021,0
218,Hard,1/1/2021,0
221,Medium,1/1/2021,0
222,Medium,1/1/2021,0
226,Easy,1/1/2021,0
238,Medium,1/1/2021,0
239,Hard,1/1/2021,0
260,Medium,1/1/2021,0
268,Easy,1/1/2021,0
282,Hard,1/1/2021,0
283,Easy,1/1/2021,0
287,Medium,1/1/2021,0
289,Medium,1/1/2021,0
292,Easy,1/1/2021,0
301,Hard,1/1/2021,0
303,Easy,1/1/2021,0
310,Medium,1/1/2021,0
312,Hard,1/1/2021,0
